data_hora_boletim,sequencial_veiculo,descricao_categoria,descricao_especie,descricao_situacao,descricao_tipo_socorro
04/01/2012 16:12,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,      
04/01/2012 16:49,1,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,      
04/01/2012 16:49,2,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,      
04/01/2012 16:49,3,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,      
04/01/2012 16:49,4,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
04/01/2012 17:16,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 17:16,2,ALUGUEL                       ,CAMINHAO                      ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 17:35,1,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,VIATURA PMMG        
04/01/2012 17:35,2,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,VIATURA PMMG        
04/01/2012 17:35,3,PARTICULAR                    ,AUTOMOVEL                     ,PARADO         ,VIATURA PMMG        
04/01/2012 17:35,4,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 17:59,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 17:59,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 18:01,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 18:01,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 18:50,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 19:44,1,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 19:44,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 22:20,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
04/01/2012 22:20,2,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,VIATURA PMMG        
05/01/2012 06:59,1,PARTICULAR                    ,MOTOCICLETA                   ,EM MOVIMENTO   ,AMBULANCIA          
05/01/2012 06:59,2,PARTICULAR                    ,AUTOMOVEL                     ,EM MOVIMENTO   ,      
05/01/2012 07:24,1,ALUGUEL                       ,ONIBUS                        ,EM MOVIMENTO   ,VIATURA PMMG        
