data_boletim,sequencia_logradouros,tipo_logradouro,nome_logradouro,nome_bairro,descricao_tipo_bairro,numero_imovel
10/03/2013 13:32,1,RUA,ANTONIO DE ALBUQUERQUE                            ,                                     ,                 ,SN
10/03/2013 13:32,2,RUA,LEVINDO LOPES                                     ,                                     ,                 ,SN
10/03/2013 13:35,1,AVE,DOS ANDRADAS                                      ,CENTRO                                            ,BAIRRO                        ,677
10/03/2013 14:48,1,AVE,ITAITE                                            ,SAO GERALDO                                       ,BAIRRO                        ,792
10/03/2013 14:56,1,AVE,PRESIDENTE ANTONIO CARLOS                         ,SAO LUIZ                                          ,BAIRRO                        ,SN
10/03/2013 14:56,2,AVE,SANTA ROSA                                        ,SAO LUIZ                                          ,BAIRRO                        ,SN
10/03/2013 15:04,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,CAICARAS                                          ,BAIRRO                        ,KM 16
10/03/2013 15:54,1,RUA,GERALDO FERREIRA DA SILVA                         ,RIBEIRO DE ABREU                                  ,BAIRRO                        ,195
10/03/2013 16:10,1,AVE,AVAI                                              ,DOM BOSCO                                         ,BAIRRO                        ,25
10/03/2013 16:11,1,AVE,DOS ANDRADAS                                      ,CENTRO                                            ,BAIRRO                        ,SN
10/03/2013 16:11,2,RUA,DOS GUAICURUS                                     ,CENTRO                                            ,BAIRRO                        ,SN
10/03/2013 16:25,1,AVE,PRESIDENTE ANTONIO CARLOS                         ,SAO CRISTOVAO                                     ,BAIRRO                        ,0
10/03/2013 17:00,1,RUA,SAO PAULO                                         ,CENTRO                                            ,BAIRRO                        ,260
10/03/2013 17:01,1,RUA,WALDOMIRO LOBO                                    ,AARAO REIS                                        ,BAIRRO                        ,409
10/03/2013 17:40,1,RUA,MORRINHOS                                         ,CASA BRANCA                                       ,BAIRRO                        ,2
10/03/2013 17:52,1,AVE,AMAZONAS                                          ,                                     ,                 ,SN
10/03/2013 17:52,2,RUA,DOS AIMORES                                       ,                                     ,                 ,0
10/03/2013 17:52,3,RUA,ARAGUARI                                          ,                                     ,                 ,SN
10/03/2013 17:53,1,RUA,DIAS ADORNO                                       ,                                     ,                 ,SN
10/03/2013 17:53,2,RUA,MARTIM DE CARVALHO                                ,                                     ,                 ,SN
10/03/2013 17:56,1,AVE,BERNARDO DE VASCONCELOS                           ,PALMARES                                          ,BAIRRO                        ,2765
10/03/2013 18:30,1,RUA,MARIA GERTRUDES SANTOS                            ,CEU AZUL                                          ,BAIRRO                        ,547
10/03/2013 20:43,1,AVE,TERESA CRISTINA                                   ,BARREIRO DE BAIXO                                 ,BAIRRO                        ,5
10/03/2013 22:15,1,RUA,TRINTA E QUATRO                                   ,TIROL                                             ,BAIRRO                        ,SN
10/03/2013 22:15,2,RUA,ANTONIO EUSTAQUIO PIAZZA                          ,TIROL                                             ,BAIRRO                        ,3000
10/03/2013 22:43,1,RUA,ANAPURUS                                          ,SAO GABRIEL                                       ,BAIRRO                        ,140
10/03/2013 23:16,1,AVE,SENADOR LEVINDO COELHO                            ,                                     ,                 ,SN
10/03/2013 23:16,2,RUA,MARIA PETERS                                      ,                                     ,                 ,SN
10/03/2013 23:49,1,RUA,INDUSTRIAL JOSE COSTA                             ,                                     ,                 ,SN
10/03/2013 23:49,2,RUA,TIBIRICA                                          ,                                     ,                 ,SN
11/03/2013 01:08,1,RUA,DESEMBARGADOR SARAIVA                             ,ALTO VERA CRUZ                                    ,BAIRRO                        ,SN
11/03/2013 01:08,2,RUA,TEBAS                                             ,ALTO VERA CRUZ                                    ,BAIRRO                        ,SN
11/03/2013 01:30,1,AVE,CRISTIANO MACHADO                                 ,PRIMEIRO DE MAIO                                  ,BAIRRO                        ,6900
11/03/2013 03:28,1,RUA,PIRANGUINHO                                       ,SAO GERALDO                                       ,BAIRRO                        ,245
11/03/2013 06:55,1,RUA,DEPUTADO WILSON TANURE                            ,SANTA AMELIA                                      ,BAIRRO                        ,SN
11/03/2013 06:55,2,RUA,DOUTOR JEFFERSON DE OLIVEIRA                      ,SANTA AMELIA                                      ,BAIRRO                        ,SN
11/03/2013 06:57,1,AVE,RAJA GABAGLIA                                     ,ESTORIL                                           ,BAIRRO                        ,2708
11/03/2013 07:01,1,RUA,SAO PAULO                                         ,CENTRO                                            ,BAIRRO                        ,388
11/03/2013 07:02,1,RUA,AIMEE SEMPLE MCPHERSON                            ,LIBERDADE                                         ,BAIRRO                        ,123
11/03/2013 07:15,1,AVE,FRANCISCO SALES                                   ,FUNCIONARIOS                                      ,BAIRRO                        ,1823
11/03/2013 07:16,1,RUA,JOSE RODRIGUES PEREIRA                            ,BURITIS                                           ,BAIRRO                        ,516
11/03/2013 07:17,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,GOIANIA                                           ,BAIRRO                        ,KM 459
11/03/2013 07:21,1,RUA,OURICURI                                          ,FLORAMAR                                          ,BAIRRO                        ,320
11/03/2013 07:30,1,RUA,CORONEL JOAQUIM DOS SANTOS                        ,CEU AZUL                                          ,BAIRRO                        ,1069
11/03/2013 07:33,1,RUA,FAISAO                                            ,FLAVIO MARQUES LISBOA                             ,BAIRRO                        ,694
11/03/2013 07:46,1,AVE,RAJA GABAGLIA                                     ,GUTIERREZ                                         ,BAIRRO                        ,1300
11/03/2013 07:54,1,ALA,DAS ACACIAS                                       ,                                     ,                 ,SN
11/03/2013 07:54,2,ALA,DO IPE BRANCO                                     ,                                     ,                 ,SN
11/03/2013 07:57,1,RUA,SAO ROQUE                                         ,BAIRRO DA GRACA                                   ,BAIRRO                        ,0
11/03/2013 07:57,2,RUA,JURUA                                             ,BAIRRO DA GRACA                                   ,BAIRRO                        ,0
11/03/2013 08:00,1,AVE,AFONSO PENA                                       ,CENTRO                                            ,BAIRRO                        ,871
11/03/2013 08:18,1,AVE,SILVA LOBO                                        ,NOVA SUISSA                                       ,BAIRRO                        ,900
11/03/2013 08:18,1,RUA,DA BAHIA                                          ,CENTRO                                            ,BAIRRO                        ,558
11/03/2013 08:25,1,AVE,CRISTIANO MACHADO                                 ,PRIMEIRO DE MAIO                                  ,BAIRRO                        ,8000
11/03/2013 08:30,1,RUA,ROSINHA SIGAUD                                    ,                                     ,                 ,S/N
11/03/2013 08:30,2,RUA,TIETE                                             ,                                     ,                 ,S/N
11/03/2013 08:45,1,AVE,DOS ANDRADAS                                      ,CENTRO                                            ,BAIRRO                        ,S/N
11/03/2013 08:45,2,RUA,DOS CARIJOS                                       ,CENTRO                                            ,BAIRRO                        ,S/N
11/03/2013 09:07,1,AVE,FRANCISCO SA                                      ,PRADO                                             ,BAIRRO                        ,77
11/03/2013 09:10,1,RUA,PADRE PEDRO PINTO                                 ,VENDA NOVA                                        ,BAIRRO                        ,175
11/03/2013 09:44,1,AVE,WALDYR SOEIRO EMRICH                              ,OLARIA                                            ,BAIRRO                        ,197
11/03/2013 09:48,1,AVE,PRESIDENTE ANTONIO CARLOS                         ,SAO FRANCISCO                                     ,VILA                          ,4200
11/03/2013 09:57,1,RUA,BARAO DE SARAMENHA                                ,SANTA TEREZA                                      ,BAIRRO                        ,9
11/03/2013 10:04,1,AVE,AMAZONAS                                          ,ALTO BARROCA                                      ,BAIRRO                        ,3937
11/03/2013 10:14,1,AVE,TERESA CRISTINA                                   ,CINQUENTENARIO                                    ,BAIRRO                        ,5555
11/03/2013 10:20,1,RUA,ALVARENGA PEIXOTO                                 ,SANTO AGOSTINHO                                   ,BAIRRO                        ,1077
11/03/2013 10:32,1,RUA,MANOEL VENANCIO MARTINS                           ,                                     ,                 ,SN
11/03/2013 10:32,2,RUA,ANTONIO DE ALMEIDA JUNIOR                         ,                                     ,                 ,0
11/03/2013 10:32,3,RUA,ANTONIO PEREGRINO NASCIMENTO                      ,                                     ,                 ,0
11/03/2013 10:32,4,RUA,JOSE CLETO                                        ,                                     ,                 ,SN
11/03/2013 11:26,1,ROD,PREFEITO AMERICO GIANETTI                         ,MINASCAIXA                                        ,BAIRRO                        ,KM 13
11/03/2013 11:30,1,RUA,BELMIRO BRAGA                                     ,                                     ,                 ,SN
11/03/2013 11:30,2,RUA,ICARAI                                            ,                                     ,                 ,SN
11/03/2013 11:50,1,RUA,BRASILEIA                                         ,                                     ,                 ,S/N
11/03/2013 11:50,2,RUA,ZILAH CORREA DE ARAUJO                            ,                                     ,                 ,S/N
11/03/2013 11:58,1,ROD,ANEL RODOVIARIO CELSO MELLO AZEVEDO               ,ENGENHO NOGUEIRA                                  ,BAIRRO                        ,KM 16
11/03/2013 12:25,1,RUA,ANGICO                                            ,SAO CRISTOVAO                                     ,BAIRRO                        ,SN
11/03/2013 12:25,2,RUA,IPE                                               ,SAO CRISTOVAO                                     ,BAIRRO                        ,SN
11/03/2013 13:49,1,PCA,CORONEL GUILHERME VAZ DE MELO                     ,LAGOINHA                                          ,BAIRRO                        ,125
11/03/2013 13:57,1,RUA,JAIRO BRITO DOS SANTOS                            ,                                     ,                 ,SN
11/03/2013 13:57,2,RUA,SETECENTOS E VINTE E CINCO                        ,                                     ,                 ,SN
11/03/2013 14:00,1,RUA,JULIO PEREIRA DA SILVA                            ,CIDADE NOVA                                       ,BAIRRO                        ,55
11/03/2013 14:07,1,RUA,CARATINGA                                         ,                                     ,                 ,S/N
11/03/2013 14:07,2,RUA,MONTES CLAROS                                     ,                                     ,                 ,S/N
11/03/2013 14:29,1,AVE,DO CANAL                                          ,ATILA DE PAIVA                                    ,CONJUNTO HABITACIONAL         ,2770
11/03/2013 14:49,1,AVE,BIAS FORTES                                       ,                                     ,                 ,S/N
11/03/2013 14:49,2,RUA,ALVARENGA PEIXOTO                                 ,                                     ,                 ,0
11/03/2013 14:49,3,RUA,DA BAHIA                                          ,                                     ,                 ,S/N
11/03/2013 14:50,1,AVE,AUGUSTO DE LIMA                                   ,BARRO PRETO                                       ,BAIRRO                        ,1374
11/03/2013 15:04,1,RUA,JOSE DUARTE FERREIRA                              ,JARDIM FELICIDADE                                 ,BAIRRO                        ,168
11/03/2013 15:07,1,RUA,ALGA MARINHA                                      ,                                     ,                 ,S/N
11/03/2013 15:07,2,RUA,ANA DIAS DUARTE                                   ,                                     ,                 ,S/N
11/03/2013 15:31,1,AVE,VILARINHO                                         ,VENDA NOVA                                        ,BAIRRO                        ,1117
11/03/2013 15:33,1,RUA,MARIZA AFONSO                                     ,INDEPENDENCIA                                     ,BAIRRO                        ,240
11/03/2013 16:23,1,AVE,PORTUGAL                                          ,JARDIM ATLANTICO                                  ,BAIRRO                        ,150
11/03/2013 16:30,1,RUA,TENENTE BRITO MELO                                ,                                     ,                 ,S/N
11/03/2013 16:30,2,RUA,DOS TUPIS                                         ,                                     ,                 ,S/N
11/03/2013 16:39,1,AVE,AMAZONAS                                          ,PRADO                                             ,BAIRRO                        ,3200
11/03/2013 16:51,1,RUA,SAO JOSE                                          ,VISTA ALEGRE                                      ,BAIRRO                        ,530
11/03/2013 17:19,1,AVE,DOM JOAO VI                                       ,PALMEIRAS                                         ,BAIRRO                        ,285
